Card,,Amount,Purchase,Reimbursed
Amex Hilton HHonors,1007,$20.51,Bibles for Smokes,Personal
Amex Hilton HHonors,1007,$10.00,Swerve Curriculum,Submitted
Amex Hilton HHonors,1007,$527.40,Orbeez Water Beads,Submitted
Amex Hilton HHonors,1007,$204.80,Slip n’ Slime Ingredients,Submitted
,,,,
Amex Hilton HHonors,1002,$3.62,Vanilla Sweet Cream,Personal
Amex Hilton HHonors,1002,$17.28,Baby Shampoo,Submitted
Amex Hilton HHonors,1002,$587.96,Slip n’ Slime Ingredients,Submitted
Amex Hilton HHonors,1002,$198.99,Duct Tape / Foam Solution,
Amex Hilton HHonors,1002,$4.99,Bagel Shop,Personal
Amex Hilton HHonors,1002,$197.78,Pro Rental,
Amex Hilton HHonors,1002,$35.12,Gas  Grand Am,Personal
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,