Item Description,Cost,Date,Purpose,Reimburse
1 in. PVC Elbows,$48.59,5/27/14,Disc Storage Shelf,Andrew
1 in. PVC Elbows,$33.36,6/2/14,Disc Storage Shelf,Andrew
1 in. PVC Elbows,$56.51,3/2/15,Disc Storage Shelf,Andrew
Wet Suit,$25.00,2014,Diving,Andrew
Wet Suit,$15.00,2014,Diving,Andrew
Neoprene Boots,$67.44,11/11/14,Diving,Andrew
Neoprene Gloves M,$17.39,11/11/14,Diving,Andrew
Neoprene Gloves XL,$17.03,3/2/15,Diving,Andrew
500 Lumen Torch,$19.99,10/16/14,Diving,Andrew
500 Lumen Torch,$19.99,3/2/15,Diving,Andrew
Josh  Payment,$9.50,4/20/15,Diving,Andrew
Himes Sale,+$72.50,6/20/15,Sale,
Drive Media,$50.00,6/22/15,Media,Andrew
Ryan Sale,+$40.00,6/26/15,Sale,
Steven Sale,+$20.00,,Sale,
Mike Sale,+$10.00,,Sale,
Vandermeer Sale,+$50.00,11/10/15,Sale,
Website & Domain,$100.00,,,
Record Celebration,$45.00,4/3/16,Diving,Andrew
1 in. PVC Elbows,$136.26,4/4/16,Diving,Andrew
Gloves & Head Lamps,$70.97,4/4/16,Diving,Andrew
1 in. PVC Elbows,$97.95,5/20/15,Diving,Andrew
1 in. PVC Elbows,$20.99,5/20/15,Diving,Andrew
Bollig Sale,+$20.00,5/25/16,Sale,
Web Design,$430.00,6/25/16,Promo,Andrew
Matt Aho Sale,+$29.00,8/31/16,Sale,