Disc Brand,Model,Plastic,Color,Condition
Innova,Ape,Champion,Yellow,New
Innova,Ape,Champion,Orange,New
Innova,Ape,Champion,Blue,New
Innova,Archangel,DX,Yellow,Lightly Used
Innova,Archangel,DX,White,Lightly Used
Innova,Archon,Champion,TieDye,New
Innova,Archon,Champion,Green,New
Innova,Archon,Star,Blue,Lightly Used
Innova,Archon,Star,Black/Gold,New
Innova,Aviar,DX,White,New
Innova,Aviar,DX,White,New
Innova,Aviar,DX,White,Lightly Used
Innova,Aviar,DX,Red,New
Innova,Aviar,DX,Red,New
Innova,Aviar,DX,Red,Medium Wear
Innova,Aviar,Champion,Blue,New
Innova,Banshee,Pro,White,Dirty
Innova,Beast,DX,Light Blue,New
Innova,Beast,DX,Light Blue,Lightly Used
Innova,Beast,DX,Dark Blue,Lightly Used
Innova,Beast,Pro,Yellow / Green,New
Innova,Beast,Champion,Orange,Faded
Innova,Beast,Champion,Blue,Faded
Innova,Beast,Champion,TieDye,New
Innova,Boss,DX,Orange,Lightly Used
Innova,Boss,RPro,Yellow,New
Innova,Boss,Champion,Red,Faded
Innova,Boss,Champion,TieDye,New
Innova,Boss,Star,Salmon,Stained
Innova,Boss,Star,Red,New
Innova,Boss,Star,Red,New
Innova,Boss,Star,Light Blue,New
Innova,Boss,Star,Dark Blue,New
Innova,Boss / Baked Potato Open,Star,Blue,Faded
Innova,Boss,Starlite,Yellow,New
Innova,Cheetah,DX,Blue,Lightly Used
Innova,Cheetah,DX,Yellow,Lightly Used
Innova,Cheetah,DX,Faded Red,New
Innova,Cheetah,DX,Red,New
Innova,Cobra,Champion,White,Lightly Used
Innova,Coyote,DX,White,Stained
Innova,Cro,RPro,White,Dirty
Innova,Daedalus / Innova Stamp,GStar,Blue,New
Innova,Destroyer,DX,White,Pink Stain
Innova,Destroyer,DX,White,Stained
Innova,Destroyer,DX,Orange,Lightly Used
Innova,Destroyer,DX,Red,New
Innova,Destroyer,DX,Blue,Hard Wear
Innova,Destroyer,DX,Blue,Lightly Used
Innova,Destroyer,DX,Blue,Lightly Used
Innova,Destroyer,DX,Blue,Lightly Used
Innova,Destroyer,Pro,Purple,New
Innova,Destroyer,Champion,Yellow,Lightly Used
Innova,Destroyer,Champion,Yellow,Lightly Used
Innova,Destroyer,Champion,Faded Yellow,Faded
Innova,Destroyer,Champion,Red,Lightly Used
Innova,Destroyer / Baked Potato Open,Champion,Pink/Red,New
Innova,Destroyer,Champion,TieDye,New
Innova,Destroyer,Blizzard Champ.,Blue,Lightly Used
Innova,Destroyer,Star,White,Faded/Stained
Innova,Destroyer,Star,Red,Lightly Used
Innova,Eagle,DX,White,Medium/Stained
Innova,Eagle,Star,White,New
Innova,Factory Second,Blizzard Champ.,Pink,New
Innova,Factory Second,Star,Blue,New
Innova,Firebird,DX,Blue,Light/Old
Innova,Firebird,Champion,Blue,Faded
Innova,Gazelle,DX,Yellow,Faded/Old
Innova,Groove,Champion,Blue,Faded
Innova,Katana,Champion,Minty,New
Innova,Katana,Champion,Green,New/Dirty
Innova,Katana,Champion,Light Blue,New/Dirty
Innova,Katana,Champion,Dark Blue,New
Innova,Katana,Champion,TieDye,New
Innova,Katana,Champion,TieDye,Old
Innova,Katana / Gem State,Champion,Pink,Faded
Innova,Katana,Star,Red,Faded
Innova,Katana,Star,Blue,Stained
Innova,Katana,Star,Yellow,New
Innova,Leopard,DX,Blue,Hard Wear
Innova,Leopard,DX,Yellow,New
Innova,Leopard,DX,Pink,New
Innova,Leopard,DX,Pink,New
Innova,Leopard,DX,Red,Hard Wear
Innova,Leopard,DX,White,Lightly Used
Innova,Leopard,DX,White,Lightly Used
Innova,Mamba,Champion,Blue,Faded
Innova,Mamba,Champion,Light Blue,New
Innova,Mamba,Champion,Yellow,New
Innova,Monarch,Champion,TieDye,New
Innova,Nova,Star,Pink/Blue,New
Innova,Orc,DX,Blue,Medium Wear
Innova,Orc,DX,Blue,Medium Wear
Innova,Orc,Pro,White,Lightly Used
Innova,Orc,Pro,TieDye,Medium Wear
Innova,Orc,Champion,Red,New
Innova,Orc,Star,Yellow,New/Faded
Innova,Panther,Champion,Yellow,New
Innova,Polecat,DX,Blue,Light/Old
Innova,Rhyno,Pro,Dirty White,Marked
Innova,Roadrunner,Champion,Yellow,Faded
Innova,Roadrunner,Star,Pistachio,New
Innova,Roc,DX,Orange,Lightly Used
Innova,Roc3,GStar,Blue,New
Innova,Shark,DX,Red,New
Innova,Shark,DX,Purple,New
Innova,Shark,DX,Orange,New
Innova,Sidewinder,DX,White,New
Innova,Sidewinder,Champion,Yellow,Lightly Used
Innova,Sidewinder,Champion,TieDye,Hard Wear
Innova,Sidewinder,Star,Orange,Faded
Innova,Sidewinder,Star,White,New
Innova,Starfire,DX,Yellow,Lightly Used
Innova,Starfire,DX,White,Lightly Used
Innova,Starfire,DX,Red,Lightly Used
Innova,Starfire,Pro,White,New
Innova,Starfire,Champion,Blue,New
Innova,Stingray,DX,White,Lightly Used
Innova,Stingray,DX,Pink,Lightly Used
Innova,TeeBird,DX,Red,Lightly Used
Innova,TeeBird,Champion,Skull Dye,New
Innova,TeeBird,Star,Orange,Lightly Used
Innova,Teerex,Star,Dark Blue,Faded
Innova,Tern,Champion,Oranges,New
Innova,Tern,Champion,Blue,New
Innova,Tern,Star,Pink,New
Innova,Tern,Star,Purple,New
Innova,Tern,Star,Orange,New
Innova,Tern,GStar,Green,Cut
Innova,Valkyrie,DX,White,New
Innova,Valkyrie,DX,Yellow,Lightly Used
Innova,Valkyrie,DX,Yellow,Medium Wear
Innova,Valkyrie,DX,Red,Lightly Used
Innova,Valkyrie,DX,Red,Medium Wear
Innova,Valkyrie,Champion,Pink,New
Innova,Valkyrie,Champion,TieDye,Lightly Used
Innova,Valkyrie,Champion,TieDye,New
Innova,Valkyrie,Champion,Orange,New
Innova,Valkyrie,Champion,Red,New
Innova,Valkyrie,Champion,Light Blue,New
Innova,Valkyrie,Star,Light Blue,Lightly Used
Innova,Valkyrie,Star,Mint Green,Medium Wear
Innova,Valkyrie,Starlite,White,Lightly Used
Innova,Viking,SX,Red,Medium Wear
Innova,Viking,Champion,Aqua,Lightly Used
Innova,Vulcan,Blizzard Champ.,Blue,Faded
Innova,Vulcan,Blizzard Champ.,Purple,Lightly Used
Innova,Vulcan,Star,Blue,New
Innova,Wahoo,RPro,Orange,Medium Wear
Innova,Wolf,DX,Blue,Lightly Used
Innova,Wraith,DX,Red,Old
Innova,Wraith,DX,Pink,New
Innova,Wraith,DX,White,Lightly Used
Innova,Wraith,DX,Mint Green,New
Innova,Wraith,DX,Yellow,New
Innova,Wraith,Pro,Yellow,Lightly Used
Innova,Wraith,Pro,Yellow,New
Innova,Wraith,Pro,Blue,New
Innova,Wraith,Pro,TieDye / Slayer,Marked
Innova,Wraith,Champion,Yellow,Lightly Used
Innova,Wraith,Champion,Yellow,Marked
Innova,Wraith,Champion,Orange,New
Innova,Wraith,Star,White,New
Innova,XCalibur / Fort Steilacom Open,Champion,Glow White,New
Innova,XCalibur,Champion,Red,New/Faded
Innova,XCalibur,Star,Orange,New/Faded
,,,,
Discraft,Avenger SS,Z,TieDye,New
Discraft,Avenger SS,Z,Yellow,New
Discraft,Avenger SS,Z,Yellow / Blue,New
Discraft,Avenger SS,X,Orange,SOLD $10
Discraft,BangerGT,Pro D,Black,Light/Old
Discraft,Buzzz,Pro D,Yellow,New
Discraft,Ace Race / Buzzz,Z,Yellow,New
Discraft,Buzzz SS,Z,Yellow,Lightly Used
Discraft,Comet,Z,TieDye,New
Discraft,Crank,Z,Yellow ,New
Discraft,Cyclone,X,Salmon,Dirty
Discraft,Flash,Z,Red/Yellow,New
Discraft,Hornet,Z,Pink,New
Discraft,Impact,ESP,White,Lightly Used
Discraft,Mantis,Z,Blue,New/Faded
Discraft,Nuke,Pro D,Orange,New
Discraft,Nuke,Z,TieDye,New/Marked
Discraft,Nuke / Strange,Z,Yellow / Gas Mask,New
Discraft,Nuke,X,Salmon,Lightly Used
Discraft,Nuke SS,Z,Blue,New/Scuffed
Discraft,Nuke SS,Z,Yellow,New/Scuffed
Discraft,Nuke SS,Z,Yellow/Gren,New/Scuffed
Discraft,Nuke SS,Z,Green,New
Discraft,Nuke SS,Ti,Silver/Green,New
Discraft,Predator,ESP,Pink/Red,Stained
Discraft,Stratus,Pro D,Purple,Old
Discraft,Surge,Z,Yellow,New
Discraft,Vortex,Pro D,Brown,Old/Cracked
Discraft,XL,Z,TieDye,New
Discraft,Epress,Z,Yellow,New
Discraft,Epress,Z,Dark Blue,New
,,,,
Disc Mania,Craze,Pline,Orange Cream,Lightly Used
Disc Mania,TD,Cline,Pink,Lightly Used
Dynamic Discs,Judge,Classic,Dirty White,Stained
Dynamic Discs,Judge,Fuzion,Black,Faded
Dynamic Discs,Trespass,Fuzion,Burnt Orange,Faded
Lattitude 64,Double Stamped Fury,Opto Line,Red/Orange,New
Lattitude 64,Mercy,Eze Line,Pink,New
Lattitude 64,River,Glow,White/Glow,New
Legacy Discs,Cannon,Icon,White,New/Stained
Legacy Discs,Idaho Masters,Icon,White/Red,New
Legacy Discs,Idaho Masters,Icon,Grey/Green,New
MVP Disc Sports,Inertia,Neutron,Light Blue,New/Stained
MVP Disc Sports,PDGA,Neutron,Black & White,New
Prodigy,M3,Prototype,Lime Green,New
Prodigy,Par2,Putter,Yellow,New
Westside Discs,Giant,VIP Air,Yellow,New
Westside Discs,Giant,VIP Air,Faded Yellow,New
Westside Discs,Double Stamped Vipunen,VIP Air,Blue/Green,New
Westside Discs,Hatchet,Tournament,Pink/Blue,New
Westside Discs,Sorcerer,Tournament,Blue/Silver,New/Scuffed
,,,,
RecTek,Pro Driver,160 Grams,Black,Lightly Used
Franklin,RT Albatross,160 Grams,Blue,Lightly Used
Franklin,RT Albatross,160 Grams,Blue,Lightly Used
Halex,Golf Discs Driver,160 Grams,Orange,New
Disc Golf,Park & Sun,160 Grams,Yellow,Faded
?,100 M Lazer,Signed,White,Old
Unmarked,Unmarked,Flexible,Black,New
Original Frisbee,Long Range Driver,175 g.,Blue,Lightly Used
Original Frisbee,Long Range Driver,175 g.,Orange Cream,Lightly Used
,,,,
,,,,
Innova,Worldâ€™s Biggest Disc Golf Weekend,DX,Salmon,Old
Innova,Baked Potato Open,Champion,Pink,New
DGA,Quaker Hill Conference,DX,Salmon,Hard Wear
Innova,2013 Throwdown,Champion,Hand Print,Lightly Used
Innova,Baked Potato Open,Star,Blue,Written On
Innova,Golden State Classic 2007,DX,Black,Lightly Used
Innova,QJLS,Champion,Yellow,Faded
Innova,Innova Discs Stamp,Champion,Pink/Sparkle,New
Innova,Innova Discs Stamp,Star,Blue,New
Innova,Dexter ,Champion,Blue,New
Innova,Unmarked,Champion,Dark Blue,Faded
Innova,Pumpkin Face,Star,Black/White,New
Lightning Discs,#2 Hookshot,Midrange,Dirty Gold,Old
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,